Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,Twitter Followers,Instagram Followers,Linkedin Followers,CEO Connections,CEO_Connections_Dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,Total Funding Amount (converted),Last Funding Amount (converted),Organization Age
3D Spark,2021-01-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"3D Printing, Manufacturing, SaaS,",1-10,3,"€1,500,000",Seed,2023-05-23,"€1,200,000",3.0,5.0,"SaaS platform to identify those parts that can be produced cheaper, faster, better, or more sustainably by means of 3D printing.",3D Printing,3D Spark 3D Printing startup website,,,3000.0,500.0,1,€,1500000.0,€,1200000.0,1.08,historical,1.08,1500000.0,1200000.0,4
x-cardiac,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Big Data,,",1-10,2,,Seed,2023-05-24,,1.0,,x-cardiac has developed artificial intelligence-based systems to prevent life-threatening complications after heart surgery.,Artificial Intelligence (AI),x-cardiac Artificial Intelligence (AI) startup website,,,513.0,500.0,1,,,,,1.08,historical,1.08,,,4
zero44,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,Software,1-10,1,"€2,500,000",Seed,2023-05-25,"€2,500,000",3.0,1.0,Zero44 is a software company that helps in the digitization of the maritime industry.,Software,zero44 Software startup website,,,2000.0,500.0,1,€,2500000.0,€,2500000.0,1.08,historical,1.08,2500000.0,2500000.0,3
Converta,2023-05-01,"Berlin, Berlin, Germany",Berlin,Berlin,"B2B, Point of Sale, SaaS",1-10,1,"€170,000",Pre-Seed,2023-05-26,"€170,000",1.0,,Converta guides B2B sales managers through their weekly pipeline review meetings and highlights.,B2B,Converta B2B startup website,,,466.0,500.0,1,€,170000.0,€,170000.0,1.07,historical,1.07,170000.0,170000.0,1
bNear,2022-03-01,"Köln, Nordrhein-Westfalen, Germany",Köln,Nordrhein-Westfalen,Software,1-10,2,"€700,000",Pre-Seed,2023-05-30,,3.0,2.0,"SaaS, Enterprise Software, New Work",Software,bNear Software startup website,,,722.0,,0,€,700000.0,,,1.07,historical,1.07,700000.0,,2
Crover Group SE,2022-04-26,"Berlin, Berlin, Germany",Berlin,Berlin,"Information Technology, Lifestyle,,,",11-50,2,,Seed,2023-06-01,,1.0,4.0,Subscription Living • Coodo Resorts • Crover Hubs,Information Technology,Crover Group SE Information Technology startup website,518.0,,,,0,,,,,1.07,historical,1.07,,,2
Hivebuy,2021-02-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Business Development, Procurement,,",11-50,3,"€1,500,000",Seed,2023-06-01,,3.0,,Hivebuy assists small and medium-sized businesses in streamlining their internal purchasing and ordering processes.,Business Development,Hivebuy Business Development startup website,,,2000.0,500.0,1,€,1500000.0,,,1.07,historical,1.07,1500000.0,,3
EuroLeaps,2023-06-01,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), Enterprise Software",1-10,1,"$200,000",Pre-Seed,2023-06-01,"$200,000",,,EuroLeaps provides enterprise search AI solutions based on Large Language Models (LLMs).,Artificial Intelligence (AI),EuroLeaps Artificial Intelligence (AI) startup website,,,9.0,,0,$,200000.0,$,200000.0,1.07,historical,1.07,214000.0,214000.0,1
Ankaadia,2021-08-01,"Oberursel, Hessen, Germany",Oberursel,Hessen,"Health Care, SaaS, Software",11-50,1,"€1,800,000",Seed,2023-06-01,"€1,800,000",3.0,6.0,Ankaadia is a SaaS application for the placement and integration of international care professionals to Germany.,Health Care,Ankaadia Health Care startup website,,,1000.0,500.0,1,€,1800000.0,€,1800000.0,1.07,historical,1.07,1800000.0,1800000.0,3
PnPAI,2023-04-17,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), E-Commerce,,,",1-10,1,"$50,000",Pre-Seed,2023-06-01,"$50,000",1.0,,"AIaaS platform for small and medium businesses. Industry-focused solutions for ecommerce, retail, healthcare, finance, and more.",Artificial Intelligence (AI),PnPAI Artificial Intelligence (AI) startup website,,,658.0,500.0,1,$,50000.0,$,50000.0,1.07,historical,1.07,53500.0,53500.0,1
delphai,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Analytics, Artificial Intelligence (AI),,,,,,",11-50,3,"€4,700,000",Series A,2023-06-06,"€3,800,000",6.0,13.0,delphai is your premier analytics platform for actionable insights on the innovations and companies driving change across industries.,Analytics,delphai Analytics startup website,10.0,1.0,118.0,201.0,0,€,4700000.0,€,3800000.0,1.07,historical,1.07,4700000.0,3800000.0,5
CO2OPT,2022-01-24,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Artificial Intelligence (AI), Information Technology,,",1-10,2,"€150,000",Seed,2023-06-06,,7.0,19.0,AI driven platform for tire management in the logistics industry,Artificial Intelligence (AI),CO2OPT Artificial Intelligence (AI) startup website,,,2000.0,500.0,1,€,150000.0,,,1.07,historical,1.07,150000.0,,3
Xound,2023-05-01,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), SaaS,",1-10,1,"€120,000",Seed,2023-06-06,"€120,000",1.0,,"Xound is an AI voice cleaner and background noise remover for content creators, podcasters, YouTubers, and Tiktokers.",Artificial Intelligence (AI),Xound Artificial Intelligence (AI) startup website,,,69000.0,500.0,1,€,120000.0,€,120000.0,1.07,historical,1.07,120000.0,120000.0,1
Payrails,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Developer APIs, Enterprise Software,,,,",51-100,2,"$21,818,153",Seed,2023-06-07,"€14,400,000",7.0,32.0,Payrails enables high-growth companies to craft their payment experiences and financial services globally.,Developer APIs,Payrails Developer APIs startup website,129.0,,8000.0,500.0,1,$,21818153.0,€,14400000.0,1.07,historical,1.07,23345423.71,14400000.0,4
Artificient Mobility Intelligence,2021-01-01,"Aachen, Nordrhein-Westfalen,",Aachen,Nordrhein-Westfalen,"Artificial Intelligence (AI), Auto Insurance,,,,,,",1-10,3,"$500,000",Pre-Seed,2023-06-09,"$500,000",5.0,7.0,"Europe’s 1st Smart Driving App Powered by AI Computer Vision towards Safer, Greener and Smarter Mobility",Artificial Intelligence (AI),Artificient Mobility Intelligence Artificial Intelligence (AI) startup website,13.0,,913.0,500.0,1,$,500000.0,$,500000.0,1.08,historical,1.08,540000.0,540000.0,4
API-Lib,2023-03-01,"Berlin, Berlin, Germany",Berlin,Berlin,"B2B, B2C, Cloud Computing, Enterprise Software,,,",1-10,1,,Seed,2023-06-10,,,3.0,"The future of Backend development! Secure, scalable, and user-friendly platform. Join us now and revolutionize your API experience!",B2B,API-Lib B2B startup website,,,,,0,,,,,1.08,historical,1.08,,,1
Tomorrow University of Applied Sciences,2020-11-01,"Berlin, Berlin, Germany",Berlin,Berlin,"E-Learning, Education",51-100,3,"€13,800,000",Series A,2023-06-12,"€9,300,000",15.0,10.0,"Online university for sustainability, entrepreneurship, and tech. Learn from world-renowned experts.",E-Learning,Tomorrow University of Applied Sciences E-Learning startup website,,,13000.0,500.0,1,€,13800000.0,€,9300000.0,1.08,historical,1.08,13800000.0,9300000.0,4
enclaive,2022-01-25,"Berlin, Berlin, Germany",Berlin,Berlin,"Cyber Security, Information Technology,,",11-50,1,"€1,650,000",Seed,2023-06-13,"€1,650,000",4.0,,Making the cloud the safest place for digital businesses,Cyber Security,enclaive Cyber Security startup website,251.0,,530.0,500.0,1,€,1650000.0,€,1650000.0,1.08,historical,1.08,1650000.0,1650000.0,2
beams,2021-11-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Apps, Consulting, SaaS, Software",1-10,2,,Pre-Seed,2023-06-15,,6.0,1.0,beams helps you navigate your workday with more focus and less stress,Apps,beams Apps startup website,106.0,,2000.0,500.0,1,,,,,1.08,historical,1.08,,,3
CERPRO,2023-06-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Artificial Intelligence (AI), Cloud Computing,",1-10,1,"$20,000",Pre-Seed,2023-06-16,"$20,000",1.0,,"CERPRO helps reimagining the future of production using artificial intelligence, and cloud computing technologies.",Artificial Intelligence (AI),CERPRO Artificial Intelligence (AI) startup website,,,402.0,500.0,1,$,20000.0,$,20000.0,1.09,historical,1.09,21800.0,21800.0,1
dealcode AI,2021-04-08,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Artificial Intelligence (AI), Lead Generation,,,,,,",11-50,3,"$3,017,016",Seed,2023-06-20,"$1,888,000",5.0,,End-to-End Sales Automation,Artificial Intelligence (AI),dealcode AI Artificial Intelligence (AI) startup website,48.0,,1000.0,500.0,1,$,3017016.0,$,1888000.0,1.09,historical,1.09,3288547.4400000004,2057920.0,3
Flowsight,2023-01-01,"Augsburg, Bayern, Germany",Augsburg,Bayern,"Artificial Intelligence (AI), Brewing,",1-10,1,"$1,000,000",Pre-Seed,2023-06-26,"$1,000,000",4.0,,The monitoring feature of Flowsight Brewcast enables complete transparency by visualizing the whole brewing process.,Artificial Intelligence (AI),Flowsight Artificial Intelligence (AI) startup website,,,390.0,211.0,0,$,1000000.0,$,1000000.0,1.09,historical,1.09,1090000.0,1090000.0,2
Notch,2021-01-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"B2B, Consumer Software, Information Technology,",1-10,1,"€1,100,000",Pre-Seed,2023-06-26,"€1,100,000",11.0,,The simplest way to create and share interactive sales documents.,B2B,Notch B2B startup website,,,1000.0,500.0,1,€,1100000.0,€,1100000.0,1.09,historical,1.09,1100000.0,1100000.0,4
FINDIQ,2022-01-01,"Herford, Nordrhein-Westfalen,",Herford,Nordrhein-Westfalen,"Knowledge Management, Service Industry,",1-10,1,"€1,000,000",Pre-Seed,2023-06-28,"€1,000,000",6.0,,FINDIQ created a unique technique to intelligently combine knowledge management and help systems for machine service.,Knowledge Management,FINDIQ Knowledge Management startup website,,,2000.0,500.0,1,€,1000000.0,€,1000000.0,1.1,historical,1.1,1000000.0,1000000.0,3
Telekinesis,2020-01-01,"Darmstadt, Hessen, Germany",Darmstadt,Hessen,"Artificial Intelligence (AI), Machine Learning,",1-10,1,"$20,000",Pre-Seed,2023-06-30,"$20,000",1.0,,Telekinesis is an AI technology developer that enables robots to learn autonomously from videos through Visual Robot Programming.,Artificial Intelligence (AI),Telekinesis Artificial Intelligence (AI) startup website,,,1000.0,500.0,1,$,20000.0,$,20000.0,1.09,historical,1.09,21800.0,21800.0,5
Greenable,2022-01-01,"Kaiserslautern, Rheinland-Pfalz,",Kaiserslautern,Rheinland-Pfalz,"Analytics, Environmental Consulting,,",1-10,1,"€490,000",Pre-Seed,2023-07-01,"€490,000",,1.0,"Greenable offers a SaaS platform for automated, standardized CO₂ footprint calculation at the product level.",Analytics,Greenable Analytics startup website,,,1000.0,500.0,1,€,490000.0,€,490000.0,1.09,historical,1.09,490000.0,490000.0,3
Productlane,2022-07-14,"Munich, Bayern, Germany",Munich,Bayern,"Product Management, Product Research,,",1-10,1,"$825,000",Pre-Seed,2023-07-01,"$825,000",10.0,1.0,The new standard for product discovery,Product Management,Productlane Product Management startup website,419.0,,,,0,$,825000.0,$,825000.0,1.09,historical,1.09,899250.0000000001,899250.0000000001,2
truemetrics,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Enterprise Software,,,",1-10,2,"€25,000",Seed,2023-07-01,,2.0,,truemetrics helps logistics companies find customers faster. Our technology maps entrances via a courier's handheld device.,Artificial Intelligence (AI),truemetrics Artificial Intelligence (AI) startup website,,,3000.0,500.0,1,€,25000.0,,,1.09,historical,1.09,25000.0,,4
seedtrace,2020-06-10,"Berlin, Berlin, Germany",Berlin,Berlin,SaaS,1-10,2,"€2,550,000",Seed,2023-07-04,"€2,000,000",6.0,3.0,"SaaS startup that develops a digital platform to manage, prove and communicate sustainability and supply chain information.",SaaS,seedtrace SaaS startup website,,,3000.0,500.0,1,€,2550000.0,€,2000000.0,1.09,historical,1.09,2550000.0,2000000.0,4
Quantagonia,2021-11-01,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,"Quantum Computing, Software",11-50,2,"€4,300,000",Seed,2023-07-04,"€3,550,000",4.0,15.0,From Complexity to Clarity. DecisionAI Simplifies Optimization for All,Quantum Computing,Quantagonia Quantum Computing startup website,75.0,59.0,4000.0,500.0,1,€,4300000.0,€,3550000.0,1.09,historical,1.09,4300000.0,3550000.0,3
Halitus,2021-07-17,"Berlin, Berlin, Germany",Berlin,Berlin,"Health Diagnostics, Information Technology,,",1-10,2,"€1,000,000",Pre-Seed,2023-07-05,"€1,000,000",8.0,,"Early disease detection with a portable, simple-to-use device. Turning air into data. Mixed Hardware + SaaS",Health Diagnostics,Halitus Health Diagnostics startup website,,,711.0,500.0,1,€,1000000.0,€,1000000.0,1.09,historical,1.09,1000000.0,1000000.0,3
ContractHero,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"B2B, SaaS, Small and Medium Businesses,",11-50,2,"€3,550,000",Seed,2023-07-06,"€2,150,000",6.0,1.0,ContractHero is a digital contract management solution for business customers.,B2B,ContractHero B2B startup website,,,2000.0,500.0,1,€,3550000.0,€,2150000.0,1.09,historical,1.09,3550000.0,2150000.0,5
eaze,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Apps, Health Care, Mobile Apps,,",11-50,3,"€1,700,000",Pre-Seed,2023-07-06,"€1,700,000",32.0,,eaze is a holistic digital program focused on providing solutions for sleep problems through CBT & personal coaching.,Apps,eaze Apps startup website,,,1000.0,500.0,1,€,1700000.0,€,1700000.0,1.09,historical,1.09,1700000.0,1700000.0,3
Weflow,2021-07-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Information Technology, SaaS,,,",11-50,2,"$5,900,000",Seed,2023-07-07,"$3,200,000",11.0,1.0,"Revenue teams use Weflow to boost productivity, pipeline visibility, forecast accuracy, and Salesforce data hygiene.",Information Technology,Weflow Information Technology startup website,57.0,,2000.0,500.0,1,$,5900000.0,$,3200000.0,1.09,historical,1.09,6431000.000000001,3488000.0000000005,3
Propel,2020-01-06,"Berlin, Berlin, Germany",Berlin,Berlin,"Communities, Financial Services,,,",11-50,3,"$2,907,522",Seed,2023-07-10,"€2,500,000",6.0,2.0,"Helping growth-stage companies hire top tech talent from emerging markets, curated through a data-driven 'Community-as-a-Service' platform.",Communities,Propel Communities startup website,,,4000.0,500.0,1,$,2907522.0,€,2500000.0,1.1,historical,1.1,3198274.2,2500000.0,5
consalio,2021-01-01,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,"Information Technology, Software",11-50,2,"€2,400,000",Seed,2023-07-11,"€1,200,000",11.0,1.0,consalio is an advisor spend management solution company.,Information Technology,consalio Information Technology startup website,,,738.0,500.0,1,€,2400000.0,€,1200000.0,1.1,historical,1.1,2400000.0,1200000.0,4
AwesomeQA,2022-01-01,"Mühldorf Am Inn, Bayern, Germany",Mühldorf Am Inn,Bayern,"Artificial Intelligence (AI), Customer Service,,",1-10,1,"$2,800,000",Seed,2023-07-11,"$2,800,000",10.0,4.0,"An AI bot that provides direct answers to community questions on Discord, Telegram, and websites.",Artificial Intelligence (AI),AwesomeQA Artificial Intelligence (AI) startup website,,,1000.0,500.0,1,$,2800000.0,$,2800000.0,1.1,historical,1.1,3080000.0000000005,3080000.0000000005,3
Qubinets,2022-01-01,"Nürnberg, Bayern, Germany",Nürnberg,Bayern,"Analytics, Artificial Intelligence (AI),",11-50,2,"€1,600,000",Seed,2023-07-12,"€1,100,000",2.0,,"Qubinets is a software firm that offers big data architecture, ML/AI Operations, and training services.",Analytics,Qubinets Analytics startup website,26.0,57.0,601.0,500.0,1,€,1600000.0,€,1100000.0,1.1,historical,1.1,1600000.0,1100000.0,3
Nyonic,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Information Technology,",1-10,1,,Series A,2023-07-13,,1.0,5.0,Nyonic provides cutting-edge AI technologies to tackle tough problems for businesses.,Artificial Intelligence (AI),Nyonic Artificial Intelligence (AI) startup website,,,4000.0,500.0,1,,,,,1.11,historical,1.11,,,2
Rephrasy,2022-01-01,"Gröbenzell, Bayern, Germany",Gröbenzell,Bayern,"Artificial Intelligence (AI), Information Technology,",1-10,2,,Pre-Seed,2023-07-16,,,,the world's most powerful AI Humanizer and AI-generated content detector.,Artificial Intelligence (AI),Rephrasy Artificial Intelligence (AI) startup website,,,,,0,,,,,1.12,historical,1.12,,,3
MeTalent,2022-09-14,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,"Automotive, Education, Finance,,,,,",1-10,1,,Pre-Seed,2023-07-16,,1.0,,"We are a group of ambitious Ukrainians, who created a platform to quickly and simply bind businesses and talents from IT",Automotive,MeTalent Automotive startup website,,,105000.0,500.0,1,,,,,1.12,historical,1.12,,,2
instant3Dhub,2021-01-01,"Darmstadt, Hessen, Germany",Darmstadt,Hessen,"3D Technology, Database, Information Technology,,",1-10,3,"$1,265,000",Seed,2023-07-18,"$1,100,000",,,"Ensure next level 3D data automation, efficiency and collaboration with instant3Dhub.",3D Technology,instant3Dhub 3D Technology startup website,51.0,,2000.0,500.0,1,$,1265000.0,$,1100000.0,1.12,historical,1.12,1416800.0000000002,1232000.0000000002,4
DLT (short for data load tool),2022-07-20,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Open Source",1-10,1,"$1,500,000",Pre-Seed,2023-07-20,"$1,500,000",3.0,,"DLT short for data load tool building exactly that open-source python library that it claims, is designed for this new wave of AI.",Artificial Intelligence (AI),DLT (short for data load tool) Artificial Intelligence (AI) startup website,,,7000.0,500.0,1,$,1500000.0,$,1500000.0,1.12,historical,1.12,1680000.0000000002,1680000.0000000002,2
Cello,2022-01-04,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), B2B,,",11-50,2,"€6,300,000",Seed,2023-07-20,"€4,000,000",10.0,2.0,All-in-one Referral Platform to amplify word-of-mouth,Artificial Intelligence (AI),Cello Artificial Intelligence (AI) startup website,69.0,,2000.0,500.0,1,€,6300000.0,€,4000000.0,1.12,historical,1.12,6300000.0,4000000.0,3
constellr,2020-01-01,"Freiburg, Baden-Wurttemberg,",Freiburg,Baden-Wurttemberg,"Agriculture, Database, Geospatial,",51-100,7,"€33,454,397",Seed,2023-07-24,"€17,000,000",14.0,21.0,"constellr develops an imaging technology to assess vegetation, soil health, and industrial monitoring for the agriculture sector.",Agriculture,constellr Agriculture startup website,,,12000.0,500.0,1,€,33454397.0,€,17000000.0,1.11,historical,1.11,33454397.0,17000000.0,5
Elevear,2021-01-01,"Aachen, Nordrhein-Westfalen,",Aachen,Nordrhein-Westfalen,"Apps, Audio, Augmented Reality,",1-10,1,,Seed,2023-07-24,,1.0,2.0,We develop breakthrough audio technologies for your hearables.,Apps,Elevear Apps startup website,,,12000.0,500.0,1,,,,,1.11,historical,1.11,,,4
